page,page_title,active_visitors
irs.gov/refunds,"Where's My Refund? - It's Quick, Easy and Secure.",8735
weather.gov/,National Weather Service,2489
irs.gov/,Internal Revenue Service,2095
egov.uscis.gov/casestatus/mycasestatus.do,myUSCIS - Case Status,1122
irs.gov/forms-&-pubs,Forms & Pubs,721
socialsecurity.gov/,The United States Social Security Administration,710
spc.noaa.gov/products/outlook/day1otlk.html,"Storm Prediction Center Feb 24, 2016 2000 UTC Day 1 Convective Outlook",686
applicationmanager.gov/application.aspx,Application Manager,672
irs.gov/taxtopics/tc152.html,Tax Topics - Topic 152 Refund Information,672
weather.gov/rah/,"Raleigh/Durham, NC",642
usajobs.gov/,USAJOBS - The Federal Governmentâ€™s Official Jobs Site,558
earthquake.usgs.gov/earthquakes/map/,Earthquakes,498
weather.gov/radar,Doppler Radar National Mosaic,480
usda.gov/wps/portal/usda/usdahome,U.S. Department of Agriculture,469
forecast.weather.gov/mapclick.php,National Weather Service,457
ssa.gov/,The United States Social Security Administration,452
irs.gov/individuals/electronic-filing-pin-request,Get Your Electronic Filing PIN,445
weather.gov/lwx/,"Sterling, VA",440
whitehouse.gov/blog/2016/02/24/meet-president-obamas-nominee-librarian-congress,Meet President Obama's Nominee for Librarian of Congress | whitehouse.gov,425
socialsecurity.gov/myaccount/,mySS - Home,408
ebenefits.va.gov/ebenefits/homepage,Home - eBenefits,378
travel.state.gov/content/passports/en/passports/apply.html,How to Apply for a Passport,367
uscis.gov/,Homepage | USCIS,361
spc.noaa.gov/climo/reports/today.html,Storm Prediction Center Today's Storm Reports,356
myhealth.va.gov/index.html,My HealtheVet - The Gateway to Veteran Health and Wellness,342
socialsecurity.gov/myaccount/lp/landing-page-rome.html,Manage Your Benefits With A my Social Security Account,342
weather.gov/akq/,"Wakefield, VA",337
gsa.gov/portal/category/100120,Per Diem Rates Look-Up,320
irs.gov/individuals/get-transcript,Get Transcript,316
studentaid.ed.gov/sa/fafsa/filling-out/fsaid,The FSA ID | Federal Student Aid,306
usajobs.gov/search/getadvancedsearchresults/,USAJOBS - The Federal Governmentâ€™s Official Jobs Site,302
spc.noaa.gov/,NOAA/NWS Storm Prediction Center,285
irs.gov/uac/telephone-assistance,Telephone Assistance,280
spc.noaa.gov/products/watch/ww0028.html,Storm Prediction Center Tornado Watch 28,280
ssa.gov/myaccount/,mySS - Home,274
nasa.gov/multimedia/imagegallery/image_feature_1146.html,Dark Clouds of the Carina Nebula | NASA,269
e-verify.uscis.gov/emp/vislogin.aspx?js=yes,E-Verify - Login Agreement,259
complaints.donotcall.gov/complaint/complaintcheck.aspx,National Do Not Call Registry,256
usajobs.gov/applicant/application/listapplications/,USAJOBS - Application Status,250
irs.gov/payments/direct-pay,Welcome to Direct Pay!,244
nasa.gov/,NASA,242
egov.uscis.gov/casestatus/landing.do,myUSCIS - Case Status Search,238
weather.gov/phi/,"Mount Holly, NJ",233
irs.gov/businesses/small-businesses-&-self-employed/apply-for-an-employer-identification-number-(ein)-online,Apply for an Employer Identification Number (EIN) Online,232
nws.noaa.gov/om/severeweather/ww.shtml,NWS Tornado Watch vs Warning,230
travel.state.gov/content/passports/en/passports.html,U.S. Passports & International Travel,225
nasa.gov/feature/7-ways-astronaut-scott-kelly-will-need-to-readjust-to-earth-after-340-days-in-space/,7 Ways Astronaut Scott Kelly Will Need To Readjust to Earth | NASA,224
travel.state.gov/content/passports/en/passports/information/fees.html,Fees,214
tsdr.uspto.gov/,Trademark Status & Document Retrieval,212
tsa.gov/travel/security-screening,Security Screening | Transportation Security Administration,209
espanol.cdc.gov/enes/flu/about/disease/symptoms.htm,Los sÃ_ntomas y la gravedad de la influenza | Influenza estacional | CDC,208
socialsecurity.gov/onlineservices/,What You Can Do Online,206
spc.noaa.gov/products/outlook/,Storm Prediction Center Convective Outlooks,204
travel.state.gov/content/passports/en/passports/renew.html,Renew a Passport,203
whitehouse.gov/the-press-office/2016/02/24/president-obama-announces-his-intent-nominate-carla-d-hayden-librarian,President Obama Announces His Intent to Nominate Carla D. Hayden as Librarian of Congress | whitehouse.gov,195
ceac.state.gov/genniv/default.aspx,Nonimmigrant Visa - Instructions Page,190
weather.gov/lot/,"Chicago, IL",185
ceac.state.gov/ceac/,Consular Electronic Application Center,182
donotcall.gov/confirm/conf.aspx,National Do Not Call Registry,171
nsopw.gov/en-us/search/results,Search Results,170
spc.noaa.gov/products/md/md0150.html,Storm Prediction Center Mesoscale Discussion 150,169
ceac.state.gov/genniv/general/complete/complete_travel.aspx?node=travel,Nonimmigrant Visa - Travel Information,162
irs.gov/spanish/dÃ_nde-estÃ¡-mi-reembolso,"Â¿DÃ_nde estÃ¡ mi reembolso? - Es rÃ¡pido, fÃ¡cil y seguro",159
tsa.gov/tsa-precheck/apply,Apply for TSA Preâœ“Â® | Transportation Security Administration,150
donotcall.gov/register/reg.aspx,National Do Not Call Registry,149
goes.noaa.gov/ecir4.html,"Eastern U.S. Infrared, Enhancement 4 - NOAA GOES Geostationary Satellite Server",149
irs.gov/filing,Filing Your Taxes,148
apod.nasa.gov/apod/astropix.html,Astronomy Picture of the Day,147
ceac.state.gov/genniv/general/complete/complete_personal.aspx?node=personal1,Nonimmigrant Visa - Personal Information 1,147
irs.gov/individuals/get-an-identity-protection-pin,Get An Identity Protection PIN (IP PIN),146
uscis.gov/n-400,Application for Naturalization | USCIS,145
va.gov/,U.S. Department of Veterans Affairs,145
e-verify.uscis.gov/emp/verify.aspx,E-Verify - Initial Verification - Enter Employee I-9 Information,144
irs.gov/individuals/when-is-where's-my-refund-available,When is Where's My Refund Available?,141
irs.gov/refunds/tax-season-refund-frequently-asked-questions,2016 Tax Season Refund Frequently Asked Questions,141
donotcall.gov/,National Do Not Call Registry,138
ceac.state.gov/genniv/general/esign/complete_done.aspx?node=done,Nonimmigrant Visa - Confirmation Page,137
ceac.state.gov/genniv/general/complete/complete_contact.aspx?node=addressphone,Nonimmigrant Visa - Address and Phone Information,136
travel.state.gov/content/travel/en.html,travel.state.gov,136
ceac.state.gov/genniv/general/complete/complete_workeducation1.aspx?node=workeducation1,Nonimmigrant Visa - Present Work/Education/Training Information,135
travel.state.gov/content/passports/en/passports/forms.html,Forms,134
spc.noaa.gov/m/,Storm Prediction Center,133
irs.gov/payments,"Payment Options: Pay Online, Installment Plans and More",130
earthquake.usgs.gov/earthquakes/map/,"1 Day, Magnitude 2.5+ Worldwide",129
studentaid.ed.gov/sa/,Federal Student Aid,129
irs.gov/tax-professionals/e-services---online-tools-for-tax-professionals,e-Services - Online Tools for Tax Professionals,128
opm.gov/investigations/e-qip-application/,e-QIP Application,128
ssa.gov/ssnumber/,New or Replacement Social Security Number and Card,127
uspto.gov/,United States Patent and Trademark Office,126
cdc.gov/,Centers for Disease Control and Prevention,125
